batch,heads,seqlen,head_dim,causal,precision,status,measured_runtime_ms,measured_runtime_std_ms,measured_bottleneck,error
4,16,8192,64,True,fp16,ok,0.7173439860343933,0.002040440001000454,unknown,
4,16,8192,64,True,fp8,ok,0.7130560278892517,0.0029959806646524317,unknown,
4,16,8192,64,False,bf16,ok,1.5598399639129639,0.002864053265295435,unknown,
4,16,8192,64,False,fp16,ok,1.5607359409332275,0.004427832037476715,unknown,
4,16,8192,64,False,fp8,ok,1.2408959865570068,0.0038802566951279447,unknown,
4,16,8192,128,True,bf16,ok,0.8183040022850037,0.00256197710657382,unknown,
4,16,8192,128,True,fp16,ok,0.8398399949073792,0.002747501182666663,unknown,
4,16,8192,128,True,fp8,ok,0.7096319794654846,0.012081113915549023,unknown,
4,16,8192,128,False,bf16,ok,1.8392319679260254,0.044530519121596196,unknown,
4,16,8192,128,False,fp16,ok,1.965183973312378,0.00897692758801288,unknown,
4,16,8192,128,False,fp8,ok,1.4751039743423462,0.03865546277109766,unknown,
4,16,16384,64,True,bf16,ok,2.7632639408111572,0.07959599033652938,unknown,
4,16,16384,64,True,fp16,ok,2.576767921447754,0.014658547029312753,unknown,
4,16,16384,64,True,fp8,ok,2.5194239616394043,0.011486532087962116,unknown,
4,16,16384,64,False,bf16,ok,6.0357441902160645,0.023979604001656944,unknown,
4,16,16384,64,False,fp16,ok,6.0382399559021,0.017754528176311922,unknown,
4,16,16384,64,False,fp8,ok,4.7533440589904785,0.006517669397254203,unknown,
4,16,16384,128,True,bf16,ok,2.975327968597412,0.01039387457138914,unknown,
4,16,16384,128,True,fp16,ok,3.307935953140259,0.018006262452519434,unknown,
4,16,16384,128,True,fp8,ok,3.299423933029175,0.02659120233626018,unknown,
4,16,16384,128,False,bf16,ok,7.542240142822266,0.20959214124168132,unknown,
4,16,16384,128,False,fp16,ok,8.124159812927246,0.32068168481512094,unknown,
4,16,16384,128,False,fp8,ok,5.260799884796143,0.1586098299934766,unknown,
4,32,1024,64,True,bf16,ok,0.0926399976015091,0.0011740563928649337,unknown,
4,32,1024,64,True,fp16,ok,0.09487999975681305,0.006704447125101444,unknown,
4,32,1024,64,True,fp8,ok,0.09673599898815155,0.001260490300698611,unknown,
4,32,1024,64,False,bf16,ok,0.11481600254774094,0.0012455366697834232,unknown,
4,32,1024,64,False,fp16,ok,0.11334399878978729,0.0012014708607164023,unknown,
4,32,1024,64,False,fp8,ok,0.10639999806880951,0.0009727678866752696,unknown,
4,32,1024,128,True,bf16,ok,0.10105600208044052,0.004500535530130704,unknown,
4,32,1024,128,True,fp16,ok,0.10051199793815613,0.0009866684843251997,unknown,
4,32,1024,128,True,fp8,ok,0.10000000149011612,0.000995040003668211,unknown,
4,32,1024,128,False,bf16,ok,0.1287039965391159,0.0010683410143061758,unknown,
4,32,1024,128,False,fp16,ok,0.12950399518013,0.001588953574850664,unknown,
4,32,1024,128,False,fp8,ok,0.1082879975438118,0.0012566261461766219,unknown,
4,32,2048,64,True,bf16,ok,0.1736000031232834,0.0017530333828594442,unknown,
4,32,2048,64,True,fp16,ok,0.17388799786567688,0.0013950678421729976,unknown,
4,32,2048,64,True,fp8,ok,0.17097599804401398,0.003019753780707958,unknown,
4,32,2048,64,False,bf16,ok,0.24899199604988098,0.002540524853705709,unknown,
4,32,2048,64,False,fp16,ok,0.25094398856163025,0.003670336209883299,unknown,
4,32,2048,64,False,fp8,ok,0.21568000316619873,0.0022758734076300116,unknown,
4,32,2048,128,True,bf16,ok,0.18854400515556335,0.0015848234588955545,unknown,
4,32,2048,128,True,fp16,ok,0.18812799453735352,0.0034625284917429162,unknown,
4,32,2048,128,True,fp8,ok,0.1810240000486374,0.001498542548064753,unknown,
4,32,2048,128,False,bf16,ok,0.2932479977607727,0.003018605229699957,unknown,
4,32,2048,128,False,fp16,ok,0.2919679880142212,0.004841916832563473,unknown,
4,32,2048,128,False,fp8,ok,0.2234559953212738,0.0019283814409467924,unknown,
4,32,4096,64,True,bf16,ok,0.4326399862766266,0.0037570120009356926,unknown,
4,32,4096,64,True,fp16,ok,0.43536001443862915,0.0036774671822570166,unknown,
4,32,4096,64,True,fp8,ok,0.42895999550819397,0.0018895484526060611,unknown,
4,32,4096,64,False,bf16,ok,0.812063992023468,0.0036445123640802264,unknown,
4,32,4096,64,False,fp16,ok,0.818015992641449,0.005586939410957248,unknown,
4,32,4096,64,False,fp8,ok,0.6590719819068909,0.0033407546644620796,unknown,
4,32,4096,128,True,bf16,ok,0.47884801030158997,0.0015446463975430642,unknown,
