batch,heads,seqlen,head_dim,causal,precision,status,measured_runtime_ms,measured_runtime_std_ms,measured_bottleneck,error
1,64,16384,64,False,bf16,ok,6.031936168670654,0.020873578385285863,unknown,
1,64,16384,64,False,fp16,ok,6.032383918762207,0.003939739206465653,unknown,
1,64,16384,64,False,fp8,ok,4.752863883972168,0.0036676831501853274,unknown,
1,64,16384,128,True,bf16,ok,2.9756479263305664,0.009162122461528378,unknown,
1,64,16384,128,True,fp16,ok,3.226207971572876,0.04024031215304344,unknown,
1,64,16384,128,True,fp8,ok,3.2588160037994385,0.11704511216150498,unknown,
1,64,16384,128,False,bf16,ok,7.498591899871826,0.19483505276708415,unknown,
1,64,16384,128,False,fp16,ok,7.898015975952148,0.21408983140669002,unknown,
1,64,16384,128,False,fp8,ok,5.358784198760986,0.32027783814456084,unknown,
4,16,1024,64,True,bf16,ok,0.07177600264549255,0.001672042231422037,unknown,
4,16,1024,64,True,fp16,ok,0.07225599884986877,0.0010199432737822427,unknown,
4,16,1024,64,True,fp8,ok,0.07612799853086472,0.0025473887363530027,unknown,
4,16,1024,64,False,bf16,ok,0.0814720019698143,0.00399414620636891,unknown,
4,16,1024,64,False,fp16,ok,0.08099199831485748,0.003996082807786657,unknown,
4,16,1024,64,False,fp8,ok,0.08006399869918823,0.0008996485566045316,unknown,
4,16,1024,128,True,bf16,ok,0.07478400319814682,0.0037993187441750505,unknown,
4,16,1024,128,True,fp16,ok,0.07481600344181061,0.002010072660001775,unknown,
4,16,1024,128,True,fp8,ok,0.07625599950551987,0.0012829559476822709,unknown,
4,16,1024,128,False,bf16,ok,0.08979199826717377,0.0014773808554709802,unknown,
4,16,1024,128,False,fp16,ok,0.08924800157546997,0.0012441789643228406,unknown,
4,16,1024,128,False,fp8,ok,0.0804160013794899,0.003941600979651691,unknown,
4,16,2048,64,True,bf16,ok,0.11168000102043152,0.0017903412339476978,unknown,
4,16,2048,64,True,fp16,ok,0.11100800335407257,0.0027075277833539554,unknown,
4,16,2048,64,True,fp8,ok,0.11334399878978729,0.005008824523404044,unknown,
4,16,2048,64,False,bf16,ok,0.16601599752902985,0.003191896032068912,unknown,
4,16,2048,64,False,fp16,ok,0.16767999529838562,0.0017977369359069857,unknown,
4,16,2048,64,False,fp8,ok,0.1459520012140274,0.004549572450922352,unknown,
4,16,2048,128,True,bf16,ok,0.12121599912643433,0.0015705781080551484,unknown,
4,16,2048,128,True,fp16,ok,0.12272000312805176,0.001890224276286223,unknown,
4,16,2048,128,True,fp8,ok,0.11814399808645248,0.0013226112505229065,unknown,
4,16,2048,128,False,bf16,ok,0.19065600633621216,0.0034512416039327778,unknown,
4,16,2048,128,False,fp16,ok,0.18905599415302277,0.0038067915040219695,unknown,
